source,target,rate,date,ingested_at
USD,EUR,0.855404,2025-07-13 12:22:14,2025-07-13 12:22:52.287
USD,UAH,41.770787,2025-07-13 12:22:14,2025-07-13 12:22:52.342
USD,EUR,0.855398,2025-07-13 18:58:04,2025-07-13 18:58:55.084
USD,UAH,41.770254,2025-07-13 18:58:04,2025-07-13 18:58:55.147
USD,EUR,0.85706,2025-07-13 22:23:04,2025-07-13 22:23:52.050
USD,UAH,41.770254,2025-07-13 22:23:04,2025-07-13 22:23:52.124
USD,EUR,0.856895,2025-07-13 22:24:04,2025-07-13 22:24:29.918
USD,UAH,41.770254,2025-07-13 22:24:04,2025-07-13 22:24:29.973
USD,EUR,0.85691,2025-07-13 22:26:15,2025-07-13 22:27:02.111
USD,UAH,41.770254,2025-07-13 22:26:15,2025-07-13 22:27:02.184
USD,EUR,0.85531,2025-07-14 11:42:16,2025-07-14 11:42:26.811
USD,UAH,41.820117,2025-07-14 11:42:16,2025-07-14 11:42:26.915
USD,EUR,0.85546,2025-07-14 11:55:16,2025-07-14 11:55:45.704
USD,UAH,41.820117,2025-07-14 11:55:16,2025-07-14 11:55:45.804
